id	classification	colour
E.01	outgroup	#d0d0d0
E.02	outgroup	#d0d0d0
E.03	outgroup	#d0d0d0
PHAVU	outgroup	#d0d0d0
ARATH	outgroup	#d0d0d0
VITVN	outgroup	#d0d0d0
E.04	outgroup	#d0d0d0
COFEU	outgroup	#d0d0d0
E.05	outgroup	#d0d0d0
E.06	outgroup	#d0d0d0
PETAX	outgroup	#d0d0d0
PETIN	outgroup	#d0d0d0
E.07	outgroup	#d0d0d0
E.08	outgroup	#d0d0d0
NICBE	outgroup	#d0d0d0
NICTA	outgroup	#d0d0d0
E.09	outgroup	#d0d0d0
E.10	outgroup	#d0d0d0
E.11	outgroup	#d0d0d0
E.12	outgroup	#d0d0d0
SLL_SLC_SP_DWR	SLL_SLC_SP_DWR	#4875de
E.13	SLL_SLC_SP_DWR	#4875de
E.14	SLL_SLC_SP_DWR	#4875de
E.15	SLL_SLC_SP_DWR	#4875de
E.16	SLL_SLC_SP_DWR	#4875de
SLL_SLC_SP	SLL_SLC_SP	#ffd966
SLL_SLC	SLL_SLC	#ff9900
E.17	SLL	#c7263f
HEINZ	SLL	#c7263f
E.18	SLL	#c7263f
SLM82	SLL	#c7263f
SWEET	SLL	#c7263f
E.19	SLL_SLC	#ff9900
SLSL5	SLL	#c7263f
E.20	SLL_SLC	#ff9900
E.21	SLL	#c7263f
E.22	SLL	#c7263f
E.23	SLL	#c7263f
TS002	SLL	#c7263f
TS009	SLL	#c7263f
E.24	SLL	#c7263f
TS003	SLL	#c7263f
TS692	SLL	#c7263f
E.25	SLL	#c7263f
E.26	SLL	#c7263f
TS060	SLL	#c7263f
TS112	SLL	#c7263f
E.27	SLL	#c7263f
TS171	SLL	#c7263f
E.28	SLL	#c7263f
TS331	SLL	#c7263f
TS629	SLL	#c7263f
E.29	SLL_SLC	#ff9900
E.30	SLL_SLC	#ff9900
E.31	SLL	#c7263f
E.32	SLL	#c7263f
TS012	SLL	#c7263f
TS166	SLL	#c7263f
E.33	SLL	#c7263f
TS185	SLL	#c7263f
TS204	SLL	#c7263f
SLC	SLC	#ff9f9f
E.34	SLC	#ff9f9f
E.35	SLC	#ff9f9f
TS039	SLC	#ff9f9f
TS623	SLC	#ff9f9f
E.36	SLC	#ff9f9f
TS096	SLC	#ff9f9f
E.37	SLC	#ff9f9f
TS118	SLC	#ff9f9f
TS545	SLC	#ff9f9f
E.38	SLC	#ff9f9f
TS238	SLC	#ff9f9f
TS280	SLC	#ff9f9f
E.39	SLL	#c7263f
TS080	SLL	#c7263f
TS117	SLL	#c7263f
SP	SP	#43b3ff
LA128	SP	#43b3ff
E.40	SP	#43b3ff
E.41	SP	#43b3ff
E.42	SP	#43b3ff
E.43	SP	#43b3ff
LA209	SP	#43b3ff
TS022	SP	#43b3ff
TS265	SP	#43b3ff
TS413	SP	#43b3ff
E.44	SP	#43b3ff
E.45	SP	#43b3ff
TS015	SP	#43b3ff
TS156	SP	#43b3ff
E.46	SP	#43b3ff
E.47	SP	#43b3ff
TS222	SP	#43b3ff
TS439	SP	#43b3ff
TS421	SP	#43b3ff
SOLGA	DWR	#93c47d
E.48	DWR	#93c47d
SOLCW	DWR	#93c47d
SOLNE	DWR	#93c47d
E.49	DWR	#93c47d
SOLCH	DWR	#93c47d
E.50	DWR	#93c47d
SOLCO	DWR	#93c47d
SOLPE	DWR	#93c47d
E.51	DWR	#93c47d
SOLHA	DWR	#93c47d
SOLPN	DWR	#93c47d
LA295	DWR	#93c47d
SOTUB	outgroup	#d0d0d0
E.52	outgroup	#d0d0d0
E.53	outgroup	#d0d0d0
E.54	outgroup	#d0d0d0
SA102	outgroup	#d0d0d0
E.55	outgroup	#d0d0d0
SA273	outgroup	#d0d0d0
SA275	outgroup	#d0d0d0
SA271	outgroup	#d0d0d0
SOLDU	outgroup	#d0d0d0
E.56	outgroup	#d0d0d0
SOLRO	outgroup	#d0d0d0
SOMEL	outgroup	#d0d0d0
E.57	outgroup	#d0d0d0
PHYGR	outgroup	#d0d0d0
E.58	outgroup	#d0d0d0
CAPA2	outgroup	#d0d0d0
CAPC2	outgroup	#d0d0d0
