id	classification	colour
F.01	outgroup	#d0d0d0
F.02	outgroup	#d0d0d0
VITVN	outgroup	#d0d0d0
F.03	outgroup	#d0d0d0
ARATH	outgroup	#d0d0d0
PHAVU	outgroup	#d0d0d0
F.04	outgroup	#d0d0d0
COFEU	outgroup	#d0d0d0
F.05	outgroup	#d0d0d0
F.06	outgroup	#d0d0d0
PETIN	outgroup	#d0d0d0
PETAX	outgroup	#d0d0d0
F.07	outgroup	#d0d0d0
F.08	outgroup	#d0d0d0
NICTA	outgroup	#d0d0d0
NICBE	outgroup	#d0d0d0
F.09	outgroup	#d0d0d0
F.10	outgroup	#d0d0d0
F.11	outgroup	#d0d0d0
CAPC2	outgroup	#d0d0d0
CAPA2	outgroup	#d0d0d0
PHYGR	outgroup	#d0d0d0
F.12	outgroup	#d0d0d0
F.13	outgroup	#d0d0d0
SOMEL	outgroup	#d0d0d0
SOLRO	outgroup	#d0d0d0
F.14	outgroup	#d0d0d0
F.15	outgroup	#d0d0d0
F.16	outgroup	#d0d0d0
F.17	outgroup	#d0d0d0
SA102	outgroup	#d0d0d0
F.18	outgroup	#d0d0d0
SA273	outgroup	#d0d0d0
SA275	outgroup	#d0d0d0
SA271	outgroup	#d0d0d0
SOLDU	outgroup	#d0d0d0
F.19	outgroup	#d0d0d0
SOTUB	outgroup	#d0d0d0
SLL_SLC_SP_DWR	SLL_SLC_SP_DWR	#4875de
LA295	DWR	#93c47d
F.20	SLL_SLC_SP_DWR	#4875de
F.21	DWR	#93c47d
SOLPN	DWR	#93c47d
SOLHA	DWR	#93c47d
F.22	SLL_SLC_SP_DWR	#4875de
F.23	DWR	#93c47d
F.24	DWR	#93c47d
SOLCO	DWR	#93c47d
SOLPE	DWR	#93c47d
SOLCH	DWR	#93c47d
F.25	SLL_SLC_SP_DWR	#4875de
F.26	DWR	#93c47d
SOLNE	DWR	#93c47d
SOLCW	DWR	#93c47d
F.27	SLL_SLC_SP_DWR	#4875de
SOLGA	DWR	#93c47d
SLL_SLC_SP	SLL_SLC_SP	#ffd966
SLL_SLC	SLL_SLC	#ff9900
F.28	SLL_SLC	#ff9900
F.29	SLL_SLC	#ff9900
F.30	SLL_SLC	#ff9900
F.31	SLL_SLC	#ff9900
F.32	SLL_SLC	#ff9900
TS012	SLL	#c7263f
SLC	SLC	#ff9f9f
F.33	SLC	#ff9f9f
F.34	SLC	#ff9f9f
TS623	SLC	#ff9f9f
TS039	SLC	#ff9f9f
F.35	SLC	#ff9f9f
TS096	SLC	#ff9f9f
F.36	SLC	#ff9f9f
TS545	SLC	#ff9f9f
TS118	SLC	#ff9f9f
F.37	SLC	#ff9f9f
TS238	SLC	#ff9f9f
TS280	SLC	#ff9f9f
F.38	SLL	#c7263f
F.39	SLL	#c7263f
TS185	SLL	#c7263f
TS204	SLL	#c7263f
TS166	SLL	#c7263f
F.40	SLL	#c7263f
TS117	SLL	#c7263f
TS080	SLL	#c7263f
F.41	SLL	#c7263f
F.42	SLL	#c7263f
F.43	SLL	#c7263f
TS009	SLL	#c7263f
TS002	SLL	#c7263f
F.44	SLL	#c7263f
TS331	SLL	#c7263f
TS692	SLL	#c7263f
F.45	SLL	#c7263f
F.46	SLL	#c7263f
TS003	SLL	#c7263f
TS629	SLL	#c7263f
F.47	SLL	#c7263f
F.48	SLL	#c7263f
TS171	SLL	#c7263f
TS112	SLL	#c7263f
TS060	SLL	#c7263f
SLSL5	SLL	#c7263f
F.49	SLL	#c7263f
F.50	SLL	#c7263f
SLM82	SLL	#c7263f
HEINZ	SLL	#c7263f
SWEET	SLL	#c7263f
SP	SP	#43b3ff
LA128	SP	#43b3ff
F.51	SP	#43b3ff
F.52	SP	#43b3ff
F.53	SP	#43b3ff
TS222	SP	#43b3ff
TS439	SP	#43b3ff
TS421	SP	#43b3ff
F.54	SP	#43b3ff
F.55	SP	#43b3ff
TS015	SP	#43b3ff
TS156	SP	#43b3ff
F.56	SP	#43b3ff
LA209	SP	#43b3ff
F.57	SP	#43b3ff
TS022	SP	#43b3ff
F.58	SP	#43b3ff
TS413	SP	#43b3ff
TS265	SP	#43b3ff
