id	classification	colour
A.01	outgroup	#d0d0d0
A.02	outgroup	#d0d0d0
VITVN	outgroup	#d0d0d0
A.03	outgroup	#d0d0d0
PHAVU	outgroup	#d0d0d0
ARATH	outgroup	#d0d0d0
A.04	outgroup	#d0d0d0
COFEU	outgroup	#d0d0d0
A.05	outgroup	#d0d0d0
A.06	outgroup	#d0d0d0
PETIN	outgroup	#d0d0d0
PETAX	outgroup	#d0d0d0
A.07	outgroup	#d0d0d0
A.08	outgroup	#d0d0d0
NICTA	outgroup	#d0d0d0
NICBE	outgroup	#d0d0d0
A.09	outgroup	#d0d0d0
A.10	outgroup	#d0d0d0
A.11	outgroup	#d0d0d0
CAPC2	outgroup	#d0d0d0
CAPA2	outgroup	#d0d0d0
PHYGR	outgroup	#d0d0d0
A.12	outgroup	#d0d0d0
A.13	outgroup	#d0d0d0
SOLRO	outgroup	#d0d0d0
SOMEL	outgroup	#d0d0d0
A.14	outgroup	#d0d0d0
A.15	outgroup	#d0d0d0
A.16	outgroup	#d0d0d0
A.17	outgroup	#d0d0d0
A.18	outgroup	#d0d0d0
SA273	outgroup	#d0d0d0
SA275	outgroup	#d0d0d0
SA102	outgroup	#d0d0d0
SA271	outgroup	#d0d0d0
SOLDU	outgroup	#d0d0d0
A.19	outgroup	#d0d0d0
SOTUB	outgroup	#d0d0d0
SLL_SLC_SP_DWR	SLL_SLC_SP_DWR	#4875de
LA295	DWR	#93c47d
A.20	SLL_SLC_SP_DWR	#4875de
A.21	DWR	#93c47d
SOLPN	DWR	#93c47d
SOLHA	DWR	#93c47d
A.22	SLL_SLC_SP_DWR	#4875de
A.23	SLL_SLC_SP_DWR	#4875de
A.24	SLL_SLC_SP_DWR	#4875de
SLL_SLC_SP	SLL_SLC_SP	#ffd966
A.25	SLL_SLC_SP	#ffd966
A.26	SLL_SLC_SP	#ffd966
A.27	SLL_SLC_SP	#ffd966
A.28	SLL_SLC_SP	#ffd966
A.29	SLL_SLC_SP	#ffd966
SLL_SLC	SLL_SLC	#ff9900
SLL	SLL	#c7263f
A.30	SLL	#c7263f
A.31	SLL	#c7263f
A.32	SLL	#c7263f
A.33	SLL	#c7263f
A.34	SLL	#c7263f
SLM82	SLL	#c7263f
SWEET	SLL	#c7263f
HEINZ	SLL	#c7263f
SLSL5	SLL	#c7263f
A.35	SLL	#c7263f
TS185	SLL	#c7263f
TS204	SLL	#c7263f
A.36	SLL	#c7263f
A.37	SLL	#c7263f
TS012	SLL	#c7263f
TS166	SLL	#c7263f
A.38	SLL	#c7263f
TS117	SLL	#c7263f
TS080	SLL	#c7263f
A.39	SLL	#c7263f
A.40	SLL	#c7263f
A.41	SLL	#c7263f
A.42	SLL	#c7263f
TS003	SLL	#c7263f
TS692	SLL	#c7263f
TS331	SLL	#c7263f
TS002	SLL	#c7263f
A.43	SLL	#c7263f
A.44	SLL	#c7263f
TS171	SLL	#c7263f
TS629	SLL	#c7263f
A.45	SLL	#c7263f
A.46	SLL	#c7263f
TS112	SLL	#c7263f
TS060	SLL	#c7263f
TS009	SLL	#c7263f
SLC	SLC	#ff9f9f
A.47	SLC	#ff9f9f
A.48	SLC	#ff9f9f
TS280	SLC	#ff9f9f
TS238	SLC	#ff9f9f
A.49	SLC	#ff9f9f
TS039	SLC	#ff9f9f
TS623	SLC	#ff9f9f
A.50	SLC	#ff9f9f
A.51	SLC	#ff9f9f
TS545	SLC	#ff9f9f
TS118	SLC	#ff9f9f
TS096	SLC	#ff9f9f
A.52	SP	#43b3ff
TS421	SP	#43b3ff
TS015	SP	#43b3ff
A.53	SP	#43b3ff
TS439	SP	#43b3ff
TS222	SP	#43b3ff
TS156	SP	#43b3ff
A.54	SP	#43b3ff
A.55	SP	#43b3ff
TS022	SP	#43b3ff
TS413	SP	#43b3ff
TS265	SP	#43b3ff
LA209	SP	#43b3ff
LA128	SP	#43b3ff
SOLGA	DWR	#93c47d
A.56	DWR	#93c47d
SOLCW	DWR	#93c47d
SOLNE	DWR	#93c47d
A.57	DWR	#93c47d
SOLCH	DWR	#93c47d
A.58	DWR	#93c47d
SOLCO	DWR	#93c47d
SOLPE	DWR	#93c47d
