id	classification	colour
B.01	outgroup	#d0d0d0
B.02	outgroup	#d0d0d0
COFEU	outgroup	#d0d0d0
B.03	outgroup	#d0d0d0
B.04	outgroup	#d0d0d0
PETAX	outgroup	#d0d0d0
PETIN	outgroup	#d0d0d0
B.05	outgroup	#d0d0d0
B.06	outgroup	#d0d0d0
NICTA	outgroup	#d0d0d0
NICBE	outgroup	#d0d0d0
B.07	outgroup	#d0d0d0
B.08	outgroup	#d0d0d0
PHYGR	outgroup	#d0d0d0
B.09	outgroup	#d0d0d0
CAPA2	outgroup	#d0d0d0
CAPC2	outgroup	#d0d0d0
B.10	outgroup	#d0d0d0
B.11	outgroup	#d0d0d0
SOMEL	outgroup	#d0d0d0
SOLRO	outgroup	#d0d0d0
B.12	outgroup	#d0d0d0
B.13	outgroup	#d0d0d0
B.14	outgroup	#d0d0d0
B.15	outgroup	#d0d0d0
B.16	outgroup	#d0d0d0
SA275	outgroup	#d0d0d0
SA273	outgroup	#d0d0d0
SA102	outgroup	#d0d0d0
SA271	outgroup	#d0d0d0
SOLDU	outgroup	#d0d0d0
B.17	outgroup	#d0d0d0
SOTUB	outgroup	#d0d0d0
SLL_SLC_SP_DWR	SLL_SLC_SP_DWR	#4875de
B.18	SLL_SLC_SP_DWR	#4875de
B.19	SLL_SLC_SP_DWR	#4875de
B.20	SLL_SLC_SP_DWR	#4875de
B.21	SLL_SLC_SP_DWR	#4875de
SLL_SLC_SP	SLL_SLC_SP	#ffd966
B.22	SLL_SLC_SP	#ffd966
B.23	SLL_SLC_SP	#ffd966
B.24	SLL_SLC_SP	#ffd966
SLL_SLC	SLL_SLC	#ff9900
SLL	SLL	#c7263f
B.25	SLL	#c7263f
B.26	SLL	#c7263f
TS185	SLL	#c7263f
B.27	SLL	#c7263f
B.28	SLL	#c7263f
TS117	SLL	#c7263f
TS080	SLL	#c7263f
TS204	SLL	#c7263f
B.29	SLL	#c7263f
B.30	SLL	#c7263f
B.31	SLL	#c7263f
B.32	SLL	#c7263f
TS112	SLL	#c7263f
TS629	SLL	#c7263f
TS060	SLL	#c7263f
B.33	SLL	#c7263f
B.34	SLL	#c7263f
B.35	SLL	#c7263f
TS331	SLL	#c7263f
B.36	SLL	#c7263f
TS003	SLL	#c7263f
TS692	SLL	#c7263f
TS171	SLL	#c7263f
B.37	SLL	#c7263f
TS002	SLL	#c7263f
TS009	SLL	#c7263f
B.38	SLL	#c7263f
B.39	SLL	#c7263f
B.40	SLL	#c7263f
SWEET	SLL	#c7263f
SLM82	SLL	#c7263f
HEINZ	SLL	#c7263f
SLSL5	SLL	#c7263f
B.41	SLL	#c7263f
TS166	SLL	#c7263f
TS012	SLL	#c7263f
SLC	SLC	#ff9f9f
B.42	SLC	#ff9f9f
B.43	SLC	#ff9f9f
B.44	SLC	#ff9f9f
TS118	SLC	#ff9f9f
TS545	SLC	#ff9f9f
TS096	SLC	#ff9f9f
B.45	SLC	#ff9f9f
TS039	SLC	#ff9f9f
TS623	SLC	#ff9f9f
B.46	SLC	#ff9f9f
TS280	SLC	#ff9f9f
TS238	SLC	#ff9f9f
TS439	SP	#43b3ff
TS222	SP	#43b3ff
B.47	SP	#43b3ff
B.48	SP	#43b3ff
B.49	SP	#43b3ff
LA209	SP	#43b3ff
TS015	SP	#43b3ff
B.50	SP	#43b3ff
TS421	SP	#43b3ff
TS156	SP	#43b3ff
B.51	SP	#43b3ff
TS022	SP	#43b3ff
B.52	SP	#43b3ff
TS265	SP	#43b3ff
TS413	SP	#43b3ff
LA128	SP	#43b3ff
SOLGA	DWR	#93c47d
B.53	DWR	#93c47d
SOLNE	DWR	#93c47d
SOLCW	DWR	#93c47d
B.54	DWR	#93c47d
B.55	DWR	#93c47d
SOLCO	DWR	#93c47d
SOLPE	DWR	#93c47d
SOLCH	DWR	#93c47d
B.56	DWR	#93c47d
SOLHA	DWR	#93c47d
SOLPN	DWR	#93c47d
LA295	DWR	#93c47d
B.57	outgroup	#d0d0d0
VITVN	outgroup	#d0d0d0
B.58	outgroup	#d0d0d0
ARATH	outgroup	#d0d0d0
PHAVU	outgroup	#d0d0d0
