id,group,code
LA295,galapagense,SG
SOLHA,galapagense,SG
SOLPN,galapagense,SG
SOLPE,galapagense,SG
SOLCO,galapagense,
SOLCH,galapagense,green
SOLCW,galapagense,green
SOLNE,galapagense,green
SOLGA,galapagense,green
LA128,pimpinellifolium,blue
LA209,pimpinellifolium,blue
TS413,pimpinellifolium,blue
TS022,pimpinellifolium,blue
TS265,pimpinellifolium,blue
TS156,pimpinellifolium,blue
TS222,pimpinellifolium,blue
TS439,pimpinellifolium,blue
TS015,pimpinellifolium,blue
TS421,pimpinellifolium,blue
TS118,cerasiforme,pink
TS545,cerasiforme,pink
TS096,cerasiforme,pink
TS623,cerasiforme,pink
TS039,cerasiforme,pink
TS238,cerasiforme,pink
TS280,cerasiforme,pink
SLSL5,lycopersicum,red
SLM82,lycopersicum,red
SWEET,lycopersicum,red
HEINZ,lycopersicum,red
TS080,lycopersicum,red
TS117,lycopersicum,red
TS012,lycopersicum,red
TS166,lycopersicum,red
TS204,lycopersicum,red
TS185,lycopersicum,red
TS112,lycopersicum,red
TS060,lycopersicum,red
TS009,lycopersicum,red
TS171,lycopersicum,red
TS629,lycopersicum,red
TS002,lycopersicum,red
TS003,lycopersicum,red
TS692,lycopersicum,red
TS331,lycopersicum,red
